task,round,global_round,task_progress,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
1,63,103,1.7875,62.9779,62.9779,64.6549,87.6895,62.9779,76.3946,62.9779,62.9779,58.8071,65.5738,80.0919,4.119326
1,64,104,1.8,62.9074,62.9074,64.4539,87.3942,62.9074,76.3485,62.9074,62.9074,58.6878,65.495,80.1629,4.149525
1,65,105,1.8125,62.8904,62.8904,64.689,87.9392,62.8904,76.3131,62.8904,62.8904,58.7159,65.5559,79.993,4.135481
1,66,106,1.825,62.9972,62.9972,64.6202,87.6365,62.9972,76.402,62.9972,62.9972,58.8124,65.6282,79.9219,4.128016
1,67,107,1.8375,63.024,63.024,64.7437,87.8144,63.024,76.3863,63.024,63.024,58.8766,65.6839,79.8217,4.136249
1,68,108,1.85,62.9418,62.9418,64.5357,87.7755,62.9418,76.3726,62.9418,62.9418,58.626,65.5008,80.2224,4.134152
1,69,109,1.8625,62.7686,62.7686,64.5101,87.3837,62.7686,76.2375,62.7686,62.7686,58.6935,65.4151,80.1925,4.142843
1,70,110,1.875,62.7849,62.7849,64.666,87.789,62.7849,76.3089,62.7849,62.7849,58.6761,65.3751,80.5003,4.161889
1,71,111,1.8875,62.7711,62.7711,64.7031,87.5678,62.7711,76.2386,62.7711,62.7711,58.8049,65.4203,80.3188,4.157084
1,72,112,1.9,62.8301,62.8301,64.5927,87.6089,62.8301,76.334,62.8301,62.8301,58.7158,65.4542,80.1952,4.139384
1,73,113,1.9125,62.9844,62.9844,64.6648,87.6855,62.9844,76.3928,62.9844,62.9844,58.8377,65.6539,79.8279,4.143856
1,74,114,1.925,62.7579,62.7579,64.6844,88.0513,62.7579,76.2418,62.7579,62.7579,58.5819,65.3918,80.3994,4.149363
1,75,115,1.9375,62.7674,62.7674,64.5264,87.3474,62.7674,76.299,62.7674,62.7674,58.7334,65.418,80.1551,4.158699
1,76,116,1.95,62.7271,62.7271,64.5204,87.3953,62.7271,76.2841,62.7271,62.7271,58.6859,65.3475,80.2978,4.151581
1,77,117,1.9625,62.7674,62.7674,64.47,87.2846,62.7674,76.2948,62.7674,62.7674,58.7117,65.4491,80.0082,4.165078
1,78,118,1.975,62.7026,62.7026,64.5262,87.3462,62.7026,76.2491,62.7026,62.7026,58.6884,65.3133,80.4093,4.168043
1,79,119,1.9875,62.8587,62.8587,64.4539,87.3266,62.8587,76.3287,62.8587,62.8587,58.7348,65.5465,79.7385,4.151488
1,80,120,2.0,62.9381,62.9381,64.5977,87.5066,62.9381,76.3654,62.9381,62.9381,58.8474,65.6545,79.5523,4.139694
